TSA_NUMERO,LAM_STATION_ID,TSA_NIMI,NIMI_FI,NIMI_SE,NIMI_EN,TIE,TIEOSA,ETAISYYS,TSA_PAIKKA_Y,TSA_PAIKKA_X,TSA_KORKEUS,MAAKUNNAN_NIMI,LEVEYS_ASTE,LEVEYS_MINUUTTI,LEVEYS_SEKUNTI,PITUUS_ASTE,PITUUS_MINUUTTI,PITUUS_SEKUNTI
23164,164,L_vt3_Kivihaka,Tie 3 Kivihaka,Väg 3 Stenhagen,Road 3 Kivihaka,3,101,2700,6679683,3383864,0,Uusimaa,60,12,"43,5",24,54,"7,2"
23152,152,L_vt3_Pirkkola,Tie 3 Pirkkola,Väg 3 Britas,Road 3 Pirkkola,3,101,4400,6681295,3383974,0,Uusimaa,60,13,"35,7",24,54,11
23165,165,L_vt3_Hakuninmaa,Tie 3 Hakuninmaa,Väg 3 Håkansåker,Road 3 Hakuninmaa,3,101,8550,6685060,3382671,0,Uusimaa,60,15,"35,9",24,52,"38,6"
23107,107,L_vt3_Kaivoksela,Tie 3 Kaivoksela,Väg 3 Gruvsta,Road 3 Kaivoksela,3,102,799,6686046,3382501,0,Uusimaa,60,16,"7,6",24,52,"25,5"
23137,137,L_vt3_Keimola,Tie 3 Keimola,Väg 3 Käinby,Road 3 Keimola,3,103,4180,6692506,3379927,0,Uusimaa,60,19,"33,4",24,49,"24,3"
23108,108,L_vt3_Karhunkorpi,Tie 3 Karhunkorpi,Väg 3 Karhunkorpi,Road 3 Karhunkorpi,3,106,4555,6711465,3382124,0,Uusimaa,60,29,"47,9",24,51,"7,1"
23154,154,L_vt4_Viikinmäki,Tie 4 Viikinmäki,Väg 4 Viksbacka,Road 4 Viikinmäki,4,102,1000,6680536,3388687,0,Uusimaa,60,13,"15,9",24,59,"18,5"
23109,109,L_vt4_Jakomäki,Tie 4 Jakomäki,Väg 4 Jakobacka,Road 4 Jakomäki,4,103,2500,6684188,3393236,0,Uusimaa,60,15,"18,2",25,4,"6,9"
23110,110,L_vt4_Mäntsälä,Tie 4 Mäntsälä,Väg 4 Mäntsälä,Road 4 Mäntsälä,4,110,4543,6721262,3403304,0,Uusimaa,60,35,"24,6",25,13,"56,4"
23998,998,L_vt4_Mäntsälä_E,"Tie 4 Mäntsälä, etelä","Väg 4 Mäntsälä, söder","Road 4 Mäntsälä, south",4,111,1000,6722220,3404113,0,Uusimaa,60,35,"56,3",25,14,"47,9"
23999,999,L_vt4_Mäntsälä_P,"Tie 4 Mäntsälä, pohjoinen","Väg 4 Mäntsälä, norr","Road 4 Mäntsälä, north",4,114,1000,6730935,3410871,0,Uusimaa,60,40,"43,3",25,21,"57,5"
23142,142,L_vt4_Levanto,"Tie 4 Mäntsälä, Levanto","Väg 4 Mäntsälä, Levanto","Road 4 Mäntsälä, Levanto",4,115,4391,6737302,3415180,0,Uusimaa,60,44,"12,3",25,26,"31,3"
23111,111,L_vt6_Liljendal,Tie 6 Liljendal,Väg 6 Liljendal,Road 6 Liljendal,6,117,2820,6716788,3447987,0,Uusimaa,60,33,"29,9",26,2,"55,5"
23179,179,L_vt7_Fazerila,Tie 7 Länsimäentie,Väg 7 Västerkullavägen,Road 7 Länsimäentie,7,1,2300,6684041,3395634,0,Uusimaa,60,15,"15,7",25,6,43
23141,141,L_vt7_Box,"Tie 7 Sipoo, Box","Väg 7 Sibbo, Box","Road 7 Sipoo, Box",7,5,1360,6688935,3410602,0,Uusimaa,60,18,"6,7",25,22,"47,9"
23112,112,L_vt7_Treksilä,"Tie 7 Porvoo, Treksilä","Väg 7 Borgå, Drägsby","Road 7 Porvoo, Treksilä",7,7,3888,6694688,3419065,0,Uusimaa,60,21,"18,9",25,31,"50,4"
23001,1,L_vt7_Rita,"Tie 7 Porvoo, Rita","Väg 7 Borgå, Rita","Road 7 Porvoo, Rita",7,10,1050,6701500,3428067,0,Uusimaa,60,25,5,25,41,"28,5"
23184,184,L_vt7_Porvoo_Uusikrouvi,Tie 7 Porvoo_Uusikrouvi,Väg 7 Porvoo_Uusikrouvi,Road 7 Porvoo_Uusikrouvi,7,11,2525,6702308,3431298,0,Uusimaa,60,25,"33,2",25,44,"58,5"
23185,185,L_vt7_Porvoo_Lohijärvi,Tie 7 Porvoo_Lohijärvi,Väg 7 Porvoo_Lohijärvi,Road 7 Porvoo_Lohijärvi,7,12,2265,6703784,3435380,0,Uusimaa,60,26,"23,3",25,49,"23,6"
23186,186,L_vt7_Loviisa_Gammelbyviken,Tie 7 Loviisa_Gammelbyviken,Väg 7 Loviisa_Gammelbyviken,Road 7 Loviisa_Gammelbyviken,7,14,1241,6709362,3440441,0,Uusimaa,60,29,"26,3",25,54,"48,4"
